Iteration 0, E0 = 66810.9511086836, E1 = 66143.80407731092, E2 = 66448.65420177861, E3 = 66511.34400588373, a = 0.1, b = 0.1, g = 0.1 

Iteration 1, E0 = 21879.086463387044, E1 = 21878.25956850579, E2 = 21879.086460828155, E3 = 21879.086463387044, a = 667.247031372675, b = 362.39690690498685, g = 299.70710279986963 

Iteration 2, E0 = 21872.450266405274, E1 = 21871.655707463604, E2 = 21872.450266405274, E3 = 21872.450266405274, a = 668.0739262539297, b = 362.39690946387566, g = 299.70710279986963 

Iteration 3, E0 = 21866.16797812558, E1 = 21865.38233285894, E2 = 21866.16797812558, E3 = 21866.16797812558, a = 668.8684851956001, b = 362.39690946387566, g = 299.70710279986963 

Iteration 4, E0 = 21860.025828085003, E1 = 21859.24900355151, E2 = 21860.025828085003, E3 = 21860.025828085003, a = 669.654130462242, b = 362.39690946387566, g = 299.70710279986963 

Iteration 5, E0 = 21854.020799877802, E1 = 21853.252704381463, E2 = 21854.020799877802, E3 = 21854.020799877802, a = 670.4309549957339, b = 362.39690946387566, g = 299.70710279986963 

Iteration 6, E0 = 21848.14994496653, E1 = 21847.39048802352, E2 = 21848.14994496653, E3 = 21848.14994496653, a = 671.1990504920738, b = 362.39690946387566, g = 299.70710279986963 

Iteration 7, E0 = 21842.410380801466, E1 = 21841.659473104926, E2 = 21842.410380801466, E3 = 21842.410380801466, a = 671.9585074350849, b = 362.39690946387566, g = 299.70710279986963 

Iteration 8, E0 = 21836.799288988706, E1 = 21836.0568423797, E2 = 21836.799288988706, E3 = 21836.799288988706, a = 672.7094151316247, b = 362.39690946387566, g = 299.70710279986963 

Iteration 9, E0 = 21831.31391356299, E1 = 21830.579840995946, E2 = 21831.31391356299, E3 = 21831.31391356299, a = 673.4518617406299, b = 362.39690946387566, g = 299.70710279986963 

Iteration 10, E0 = 21825.951559274945, E1 = 21825.225774790713, E2 = 21825.951559274945, E3 = 21825.951559274945, a = 674.1859343076736, b = 362.39690946387566, g = 299.70710279986963 

Iteration 11, E0 = 21820.709589988095, E1 = 21819.99200868377, E2 = 21820.709589988095, E3 = 21820.709589988095, a = 674.9117187919052, b = 362.39690946387566, g = 299.70710279986963 

Iteration 12, E0 = 21815.585427102782, E1 = 21814.87596510397, E2 = 21815.585427102782, E3 = 21815.585427102782, a = 675.6293000962302, b = 362.39690946387566, g = 299.70710279986963 

Iteration 13, E0 = 21810.576548046687, E1 = 21809.875122481793, E2 = 21810.576548046687, E3 = 21810.576548046687, a = 676.3387620950431, b = 362.39690946387566, g = 299.70710279986963 

Iteration 14, E0 = 21805.680484826527, E1 = 21804.98701379923, E2 = 21805.680484826527, E3 = 21805.680484826527, a = 677.0401876599368, b = 362.39690946387566, g = 299.70710279986963 

Iteration 15, E0 = 21800.894822610884, E1 = 21800.209225176706, E2 = 21800.894822610884, E3 = 21800.894822610884, a = 677.7336586872349, b = 362.39690946387566, g = 299.70710279986963 

Iteration 16, E0 = 21796.21719838586, E1 = 21795.539394529154, E2 = 21796.21719838586, E3 = 21796.21719838586, a = 678.4192561214128, b = 362.39690946387566, g = 299.70710279986963 

Iteration 17, E0 = 21791.64529965251, E1 = 21790.975210262528, E2 = 21791.64529965251, E3 = 21791.64529965251, a = 679.0970599781191, b = 362.39690946387566, g = 299.70710279986963 

Iteration 18, E0 = 21787.176863159064, E1 = 21786.51441000753, E2 = 21787.176863159064, E3 = 21787.176863159064, a = 679.7671493681024, b = 362.39690946387566, g = 299.70710279986963 

Iteration 19, E0 = 21782.8096736776, E1 = 21782.15477939774, E2 = 21782.8096736776, E3 = 21782.8096736776, a = 680.429602519636, b = 362.39690946387566, g = 299.70710279986963 

Iteration 20, E0 = 21778.54156283069, E1 = 21777.89415089835, E2 = 21778.54156283069, E3 = 21778.54156283069, a = 681.0844967994941, b = 362.39690946387566, g = 299.70710279986963 

Iteration 21, E0 = 21774.37040796294, E1 = 21773.73040267579, E2 = 21774.37040796294, E3 = 21774.37040796294, a = 681.7319087318334, b = 362.39690946387566, g = 299.70710279986963 

